# Real DX cluster spots captured from http://www.dxsummit.fi/api/v1/spots?limit=500
# on 2026-08-08. Two columns: frequency in kHz, and the spotter's free-text
# comment. Ground truth for the mode test is the comment: where a spotter
# named the mode, the band plan must agree with them.
# frequency_khz	comment
14074.0	ft8 tnx qso gl/gdx vy 73!
14040.0	10w
14206.0	USB
144175.0	FT8 -7 dB 1381 Hz
144174.0	FT8 +37 dB  s EI Hiiii
21074.0	
7123.0	CQ LSB
14262.0	WWFF KFF-1530
14268.0	CME test
24940.0	tnx
144174.0	FT8 -16 dB 1356 Hz
14317.0	SE USS MIDWAY MUSEUM SAN DIEGO
14074.0	FT8 Lee DeForest SES
21033.8	
21023.5	
18160.0	ssb Volta Portugal 26
21260.0	
21002.5	WAE Contest CW
21018.9	DARC-WAEDC-CW
18100.0	FT8 LL56gd -> LL55ri
14074.0	FT8 +08dB from JN86 1445Hz
28028.0	Volta Portugal 26 CW
21026.0	
10117.6	tnx QSO ur mag. loop doing ufb
14200.0	CQing (but no Rx)
21008.1	
144174.0	FT8 +23 dB 1400 Hz
24915.0	ft4 25th CACG
14009.7	WAEU CW
7165.0	TU 73! Special call!
3680.0	Concurso
14282.0	DME CONTEST 46233
14074.0	ft8 tnx qso gl/gdx vy 73!
7086.0	
18101.9	FT8
50313.0	CQ GWS GAS WASSER SCHEISSE
14313.0	[PW] US-3312 Highland State Re
14270.0	RMS Queen Mary special event
21288.0	cq 15
7146.0	MOROS Y CRISTIANOS 5 PUNTOS
144173.0	FT8 -7 dB  CQ
21250.0	TNX 59 73
21278.0	SWL, 5/6-8,    CQ'ing
18084.0	Nice sig
21018.5	CW
24916.5	
21010.4	CW
21007.6	
28310.0	DME-13038
21013.0	
21239.7	
14020.0	WAEU CW
14061.0	QRP fm vessel on river Spree
144174.0	FT8 +28 dB 1077 Hz
144174.0	<TR> FT8 -14 dB 2406 Hz
21288.0	CQ CQ ssb
7011.7	CW
21240.0	cq 15
21006.0	WAE CONTEST
144174.0	<TR>io61 FT8 -16 dB 1850 Hz rx
21000.1	Thx 73!
24916.5	
28075.7	
144174.0	FT8 +31 dB DL6BF Hiiii
3700.0	CME 13034
7186.0	SES Chatham Light LSB
14200.0	corr
70154.0	JP50JA<>JO55RT FT8 / -19dB CQ
21074.0	
144174.0	FT8 +35 dB 1967 Hz
21022.9	
24916.5	
24940.0	TY
14025.9	
50072.0	5/2 QSB EM20hb - EN62be
21277.0	concurso
7023.0	Award
21015.1	CW
14009.6	CW
14019.3	
21007.1	
7195.0	Tnx Cat Call 73 Jörg
144174.0	FT8 +27 dB  DL6BF Hiiii
144174.0	IO81LO<TR>JO22QD FT8 tnx  qso
21033.8	DARC-WAEDC-CW
21018.9	CW
70450.0	IO91BM<>JN76ET IO91BM TO JN76E
24916.5	
21014.3	CW
21003.5	WAE CONTEST
21036.9	DARC-WAEDC-CW
14019.9	
28483.0	
14009.7	
14040.0	WWFF VEFF-1886
14272.0	Concurso DME
24916.5	
14080.0	FT4 CQ
21299.9	11015 CME test
144174.0	FT8 +26 dB DR5O JO31NH
14340.0	POTA DE-1174
21033.3	
50076.3	5/3 QSB EM20hb - EN82il
21018.5	
14188.0	CQ DX
50313.0	JN98VC<ES>IL27 -5 dB
3527.0	
18100.0	FT8 -15dB from KN19 2211Hz
21036.9	CW
21006.0	CW
28490.0	CQ CQ
3712.0	CME 30026
24940.0	
14265.0	USB
21260.0	cq cq dx usa
144174.0	FT8 +30 dB  STEVE WONDER 6BF
50073.0	5/3 QSB EM20hb - EN34fs
21018.6	CW
14074.0	ft8 tnx qso gl/gdx vy 73!
21003.5	
144174.0	FT8 +23 dB DR5O JO31NH
7011.7	
28028.0	
24940.0	CQing
21076.9	TNX SO MUCH NEED YOUR GRID 73
50313.3	IN52OC<>KN02
21020.1	WAE CONTEST
14200.0	cq cq
144174.0	IO81LO<TR>JO31LH FT8 tnx  qso
144174.0	FT8 +25 dB 1758 Hz
144174.0	<TR>in88 FT8 -12 dB 1312 Hz rx
21006.7	
21074.0	FT8
24916.5	
14282.0	DME CONTEST
21005.0	CW
21040.9	CW
14045.3	MDCQP WAS
144174.0	FT8 +25 dB 368 Hz
28483.0	73
21003.5	CW
14310.0	CQ CQ  NO TAKERS
21285.0	cq contest
14328.0	LLPR-0095 LAKES AND LAGOONS ON
14019.3	
14190.0	WWFF Expedition
